SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,17 Odell St,Newburgh,NY,12550,399999,4,1.5,Warden Heights,1871,7501,1955,89,214,,Active,,,https://www.redfin.com/NY/Newburgh/17-Odell-St-12550/home/54922884,OneKey,H6221542,N,Y,41.5111422,-74.031986
MLS Listing,,Multi-Family (2-4 Unit),255 Powell Ave,Newburgh,NY,12550,224000,0,,Newburgh,1854,2278,1886,106,121,,Active,,,https://www.redfin.com/NY/Newburgh/255-Powell-Ave-12550/home/92369418,OneKey,H6223203,N,Y,41.5101877,-74.0154837
MLS Listing,,Vacant Land,Cloud St,Newburgh,NY,12550,225000,,,Newburgh,,252648,,109,,,Active,,,https://www.redfin.com/NY/Newburgh/Cloud-St-12550/home/179614967,OneKey,H6222919,N,Y,41.54664,-74.02394
MLS Listing,,Single Family Residential,Lot 2 Union Ave,Newburgh,NY,12550,549900,4,2.5,Newburgh,2505,21780,2023,110,220,,Active,,,https://www.redfin.com/NY/Gardnertown/Lot-2-12550/home/183119172,OneKey,H6222454,N,Y,41.5367868,-74.0714697
MLS Listing,,Vacant Land,Ws Rockcut Rd,Newburgh,NY,12550,500000,,,Newburgh,,626541,,111,,,Active,,,https://www.redfin.com/NY/Newburgh/Ws-Rockcut-Rd-12550/home/163533629,OneKey,H6222400,N,Y,41.547049,-74.116008
MLS Listing,,Townhouse,113 Lander St,Newburgh,NY,12550,235000,4,1.5,Newburgh,1438,2500,1900,115,163,,Active,,,https://www.redfin.com/NY/Newburgh/113-Lander-St-12550/home/54992171,OneKey,H6220262,N,Y,41.504627,-74.0122284
MLS Listing,,Multi-Family (2-4 Unit),135 3rd St,Newburgh,NY,12550,370000,5,2,Newburgh,3076,3311,1900,116,120,,Active,,,https://www.redfin.com/NY/Newburgh/135-3rd-St-12550/home/72607786,OneKey,H6222067,N,Y,41.5039689,-74.0120629
MLS Listing,,Multi-Family (2-4 Unit),63 Colden Hill Rd,Newburgh,NY,12550,375000,4,2,Newburgh,2240,65340,1987,116,167,,Active,,,https://www.redfin.com/NY/Newburgh/63-Colden-Hill-Rd-12550/home/92387487,OneKey,H6221956,N,Y,41.5318443,-74.1217941
MLS Listing,,Multi-Family (2-4 Unit),85 Carpenter Ave,Newburgh,NY,12550,395000,0,,Newburgh,3144,8499,1890,118,126,,Active,,,https://www.redfin.com/NY/Newburgh/85-Carpenter-Ave-12550/home/72578414,OneKey,H6220737,N,Y,41.5038669,-74.0185604
MLS Listing,,Single Family Residential,1183 Union (lot 3) Ave,Newburgh,NY,12550,549900,4,2.5,Newburgh,2700,172933,2021,120,204,,Active,,,https://www.redfin.com/NY/Newburgh/1183-3rd-St-12550/home/182967487,OneKey,H6221411,N,Y,41.504526,-74.018035
MLS Listing,,Single Family Residential,12 Blake St,Newburgh,NY,12550,279000,3,1,Newburgh,1014,5001,1946,121,275,,Active,,,https://www.redfin.com/NY/Newburgh/12-Blake-St-12550/home/54887929,OneKey,H6221339,N,Y,41.5175993,-74.0294412
MLS Listing,,Single Family Residential,1183 Union (lot 2) Ave,Newburgh,NY,12550,469900,4,3,Newburgh,2345,60984,2023,121,200,,Active,,,https://www.redfin.com/NY/Newburgh/1183-2nd-St-12550/home/182968185,OneKey,H6221409,N,Y,41.503257,-74.007727
MLS Listing,,Single Family Residential,5 Austin Tyler Ct,Newburgh,NY,12550,473700,4,3,Newburgh,1908,113256,2010,126,248,,Active,,,https://www.redfin.com/NY/Newburgh/5-Austin-Tyler-Ct-12550/home/92364935,OneKey,H6220641,N,Y,41.550511,-74.057647
MLS Listing,,Single Family Residential,1 Chelsea View Ter,Newburgh,NY,12550,985000,4,4.5,Pinnacle Of Hudson,4002,127988,2022,127,246,,Active,March-26-2023 01:45 PM,March-26-2023 02:30 PM,https://www.redfin.com/NY/Newburgh/1-Chelsea-View-Ter-12550/home/72587195,OneKey,H6220729,N,Y,41.5377563,-74.003597
